Original array: [5408, 7953, 7810, 2827, 2126, 8947, 4651, 2096, 8411, 8339, 4553, 7734, 2875, 3305, 4973, 281, 5380, 2338, 7825, 3888, 6299, 5747, 2436, 7537, 5989, 7527, 1780, 6265, 1736, 707, 7665, 5183, 8554, 7065, 8791, 6365, 5026, 6377, 498, 4415]
Sorted array: [281, 498, 707, 1736, 1780, 2096, 2126, 2338, 2436, 2827, 2875, 3305, 3888, 4415, 4553, 4651, 4973, 5026, 5183, 5380, 5408, 5747, 5989, 6265, 6299, 6365, 6377, 7065, 7527, 7537, 7665, 7734, 7810, 7825, 7953, 8339, 8411, 8554, 8791, 8947]

Original array: [6825, 1617, 4931, 2441, 801, 4039, 8525, 8038, 263, 6826, 1861, 5522, 6519, 8319, 8981, 8615, 2749, 7784, 4176, 7335, 7964, 6752, 5457, 991, 6562, 2932, 1768, 6888, 2199, 3261, 7514, 2772, 2426, 2985, 102, 866, 1123, 5321, 4477, 2670]
Sorted array: [102, 263, 801, 866, 991, 1123, 1617, 1768, 1861, 2199, 2426, 2441, 2670, 2749, 2772, 2932, 2985, 3261, 4039, 4176, 4477, 4931, 5321, 5457, 5522, 6519, 6562, 6752, 6825, 6826, 6888, 7335, 7514, 7784, 7964, 8038, 8319, 8525, 8615, 8981]

Original array: [6494, 3795, 3004, 4587, 3622, 1143, 4019, 5033, 2497, 2659, 149, 4302, 1526, 4313, 3465, 6178, 5763, 7131, 8933, 5835, 4396, 2178, 8894, 1125, 1126, 6706, 4579, 1637, 81, 4677, 1874, 6803, 7112, 7082, 8978, 6214, 7173, 358, 1376, 1437]
Sorted array: [81, 149, 358, 1125, 1126, 1143, 1376, 1437, 1526, 1637, 1874, 2178, 2497, 2659, 3004, 3465, 3622, 3795, 4019, 4302, 4313, 4396, 4579, 4587, 4677, 5033, 5763, 5835, 6178, 6214, 6494, 6706, 6803, 7082, 7112, 7131, 7173, 8894, 8933, 8978]

Original array: [8904, 2064, 5400, 3367, 757, 2516, 5278, 5875, 1503, 5216, 2873, 5807, 7507, 3071, 6135, 4970, 3855, 4136, 7084, 4016, 3860, 128, 8071, 7396, 4549, 3815, 2674, 6608, 2372, 1387, 2749, 6837, 4578, 7041, 4977, 7726, 4409, 1372, 4094, 7789]
Sorted array: [128, 757, 1372, 1387, 1503, 2064, 2372, 2516, 2674, 2749, 2873, 3071, 3367, 3815, 3855, 3860, 4016, 4094, 4136, 4409, 4549, 4578, 4970, 4977, 5216, 5278, 5400, 5807, 5875, 6135, 6608, 6837, 7041, 7084, 7396, 7507, 7726, 7789, 8071, 8904]

Original array: [1030, 841, 6751, 5653, 7420, 7352, 7109, 7069, 7464, 2723, 3975, 8635, 967, 3487, 4792, 4571, 4459, 1906, 8638, 4060, 1075, 6959, 8441, 5640, 29, 4863, 3081, 6643, 443, 5253, 5690, 5906, 7278, 1186, 7528, 4133, 3117, 5074, 2125, 2552]
Sorted array: [29, 443, 841, 967, 1030, 1075, 1186, 1906, 2125, 2552, 2723, 3081, 3117, 3487, 3975, 4060, 4133, 4459, 4571, 4792, 4863, 5074, 5253, 5640, 5653, 5690, 5906, 6643, 6751, 6959, 7069, 7109, 7278, 7352, 7420, 7464, 7528, 8441, 8635, 8638]

Original array: [5621, 8324, 3752, 689, 1762, 1745, 5645, 6258, 6224, 5060, 971, 2024, 1410, 3848, 6174, 1756, 2739, 6462, 3349, 1322, 5351, 7836, 3435, 8968, 3667, 399, 7926, 5544, 8812, 2553, 646, 7094, 6419, 284, 6488, 2332, 871, 4166, 4332, 1389]
Sorted array: [284, 399, 646, 689, 871, 971, 1322, 1389, 1410, 1745, 1756, 1762, 2024, 2332, 2553, 2739, 3349, 3435, 3667, 3752, 3848, 4166, 4332, 5060, 5351, 5544, 5621, 5645, 6174, 6224, 6258, 6419, 6462, 6488, 7094, 7836, 7926, 8324, 8812, 8968]

Original array: [4742, 8734, 2038, 5270, 185, 974, 8921, 5284, 3029, 7817, 6214, 3090, 7608, 1690, 4429, 4462, 4264, 2491, 5090, 4629, 5493, 795, 7209, 100, 708, 3412, 8462, 8586, 1686, 6990, 7726, 8526, 2477, 7843, 1651, 2959, 8582, 3490, 2824, 5307]
Sorted array: [100, 185, 708, 795, 974, 1651, 1686, 1690, 2038, 2477, 2491, 2824, 2959, 3029, 3090, 3412, 3490, 4264, 4429, 4462, 4629, 4742, 5090, 5270, 5284, 5307, 5493, 6214, 6990, 7209, 7608, 7726, 7817, 7843, 8462, 8526, 8582, 8586, 8734, 8921]

Original array: [1326, 6962, 7731, 2431, 6894, 1359, 4795, 8108, 930, 1311, 2445, 2511, 1731, 1177, 4911, 4281, 3429, 7908, 3825, 1689, 5018, 5387, 5019, 1827, 2581, 8013, 7914, 6705, 7984, 8778, 5907, 7133, 4093, 7543, 5642, 8981, 118, 26, 5114, 6368]
Sorted array: [26, 118, 930, 1177, 1311, 1326, 1359, 1689, 1731, 1827, 2431, 2445, 2511, 2581, 3429, 3825, 4093, 4281, 4795, 4911, 5018, 5019, 5114, 5387, 5642, 5907, 6368, 6705, 6894, 6962, 7133, 7543, 7731, 7908, 7914, 7984, 8013, 8108, 8778, 8981]

Original array: [5873, 4864, 1403, 615, 6504, 2598, 5080, 5207, 7924, 402, 7592, 774, 6786, 409, 4252, 3356, 3084, 5701, 3421, 6862, 5882, 4726, 1151, 5675, 8772, 4428, 6061, 1957, 5667, 2872, 2266, 7159, 5288, 3393, 6308, 5564, 2419, 8745, 6817, 2756]
Sorted array: [402, 409, 615, 774, 1151, 1403, 1957, 2266, 2419, 2598, 2756, 2872, 3084, 3356, 3393, 3421, 4252, 4428, 4726, 4864, 5080, 5207, 5288, 5564, 5667, 5675, 5701, 5873, 5882, 6061, 6308, 6504, 6786, 6817, 6862, 7159, 7592, 7924, 8745, 8772]

Original array: [5582, 2907, 3738, 603, 986, 4592, 2588, 7853, 7477, 1824, 4123, 8011, 2162, 6697, 1839, 2342, 7248, 3705, 8209, 767, 5322, 5036, 5720, 8265, 321, 2657, 534, 730, 8446, 2212, 4348, 8755, 2931, 3536, 515, 3452, 361, 8322, 4331, 5324]
Sorted array: [321, 361, 515, 534, 603, 730, 767, 986, 1824, 1839, 2162, 2212, 2342, 2588, 2657, 2907, 2931, 3452, 3536, 3705, 3738, 4123, 4331, 4348, 4592, 5036, 5322, 5324, 5582, 5720, 6697, 7248, 7477, 7853, 8011, 8209, 8265, 8322, 8446, 8755]

Original array: [8546, 3983, 8580, 895, 8824, 1422, 3430, 2754, 3395, 1167, 5120, 7675, 289, 2657, 6635, 2892, 2462, 4273, 2093, 2788, 8183, 6227, 1425, 7794, 1523, 6113, 5711, 3867, 2064, 5058, 7813, 6719, 450, 2130, 4901, 4343, 411, 4627, 7146, 474]
Sorted array: [289, 411, 450, 474, 895, 1167, 1422, 1425, 1523, 2064, 2093, 2130, 2462, 2657, 2754, 2788, 2892, 3395, 3430, 3867, 3983, 4273, 4343, 4627, 4901, 5058, 5120, 5711, 6113, 6227, 6635, 6719, 7146, 7675, 7794, 7813, 8183, 8546, 8580, 8824]

Original array: [1518, 7087, 6663, 4764, 2990, 2817, 4382, 3102, 386, 816, 7362, 6673, 7345, 6489, 7900, 899, 1967, 3324, 6879, 2141, 6082, 2074, 1173, 8987, 2694, 257, 204, 4068, 7035, 4638, 7471, 2598, 6171, 8583, 7741, 880, 4148, 2122, 8553, 2165]
Sorted array: [204, 257, 386, 816, 880, 899, 1173, 1518, 1967, 2074, 2122, 2141, 2165, 2598, 2694, 2817, 2990, 3102, 3324, 4068, 4148, 4382, 4638, 4764, 6082, 6171, 6489, 6663, 6673, 6879, 7035, 7087, 7345, 7362, 7471, 7741, 7900, 8553, 8583, 8987]

Original array: [2933, 1262, 5737, 6797, 2466, 8981, 6759, 867, 4240, 6642, 3823, 6506, 8062, 4769, 343, 6184, 7561, 941, 6604, 8542, 6289, 6024, 6217, 578, 3801, 1916, 1261, 7160, 2865, 8114, 5501, 2300, 4556, 6963, 2773, 4276, 1578, 8670, 2326, 2423]
Sorted array: [343, 578, 867, 941, 1261, 1262, 1578, 1916, 2300, 2326, 2423, 2466, 2773, 2865, 2933, 3801, 3823, 4240, 4276, 4556, 4769, 5501, 5737, 6024, 6184, 6217, 6289, 6506, 6604, 6642, 6759, 6797, 6963, 7160, 7561, 8062, 8114, 8542, 8670, 8981]

